Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Raiders to receive the opening kickoff.",,,1,2025,8
1.0,15:00,,,NWE 35,0.0,0.0,"Andres Borregales kicks off 65 yards, returned by Dylan Laube for 34 yards (tackle by Marte Mapu)",0.0,1.2,1,2025,8
1.0,14:55,1.0,10.0,LVR 34,0.0,0.0,Geno Smith pass complete short middle to Brock Bowers for 23 yards (tackle by Jaylinn Hawkins),1.2,2.72,1,2025,8
1.0,14:27,1.0,10.0,NWE 43,0.0,0.0,Ashton Jeanty right guard for 9 yards (tackle by Alex Austin and Christian Elliss),2.72,3.39,1,2025,8
1.0,13:47,2.0,1.0,NWE 34,0.0,0.0,Geno Smith pass complete short left to Dont'e Thornton for 9 yards (tackle by Alex Austin),3.39,3.91,1,2025,8
1.0,13:11,1.0,10.0,NWE 25,0.0,0.0,Ashton Jeanty right guard for 4 yards (tackle by Harold Landry),3.91,3.9,1,2025,8
1.0,12:30,2.0,6.0,NWE 21,0.0,0.0,Geno Smith pass incomplete short middle intended for Tre Tucker,3.9,3.2,1,2025,8
1.0,12:23,3.0,6.0,NWE 21,0.0,0.0,"Penalty on Dylan Parham: False Start, 5 yards (accepted) (no play)",3.2,2.54,1,2025,8
1.0,12:23,3.0,11.0,NWE 26,6.0,0.0,"Geno Smith pass complete deep right to Tre Tucker for 26 yards, touchdown",2.54,7.0,1,2025,8
1.0,12:17,,,NWE 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,1,2025,8
1.0,12:17,,,LVR 35,7.0,0.0,"Daniel Carlson kicks off 59 yards, returned by Antonio Gibson for 41 yards (tackle by Tommy Eichenberg)",0.0,2.06,1,2025,8
1.0,12:11,1.0,10.0,NWE 47,7.0,0.0,Drake Maye scrambles right end for 1 yard (tackle by Thomas Booker),2.06,1.65,1,2025,8
1.0,11:27,2.0,9.0,NWE 48,7.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Devin White),1.65,1.09,1,2025,8
1.0,10:46,3.0,8.0,NWE 49,7.0,0.0,Drake Maye pass incomplete short right intended for Demario Douglas,1.09,-0.13,1,2025,8
1.0,10:41,4.0,8.0,NWE 49,7.0,0.0,"Bryce Baringer punts 46 yards, fair catch by Tre Tucker at LV-5",-0.13,0.38,1,2025,8
1.0,10:34,1.0,10.0,LVR 5,7.0,0.0,Ashton Jeanty up the middle for 9 yards (tackle by Craig Woodson),-0.38,-0.1,1,2025,8
1.0,9:57,2.0,1.0,LVR 14,7.0,0.0,Geno Smith pass incomplete deep left intended for Dont'e Thornton,-0.1,-0.37,1,2025,8
1.0,9:50,3.0,1.0,LVR 14,7.0,0.0,Geno Smith pass complete short right to Jakobi Meyers for 4 yards,-0.37,0.04,1,2025,8
1.0,9:15,1.0,10.0,LVR 18,7.0,0.0,Geno Smith sacked by Harold Landry for 5 yards,0.04,-1.14,1,2025,8
1.0,8:31,2.0,15.0,LVR 13,7.0,0.0,Geno Smith pass complete short left to Jakobi Meyers for 24 yards (tackle by Christian Elliss),-1.14,1.4,1,2025,8
1.0,7:57,1.0,10.0,LVR 37,7.0,0.0,Zamir White right tackle for no gain (tackle by Khyiris Tonga),1.4,0.86,1,2025,8
1.0,7:16,2.0,10.0,LVR 37,7.0,0.0,Geno Smith pass incomplete short middle intended for Alex Bachman (defended by Marcus Jones),0.86,0.17,1,2025,8
1.0,7:15,3.0,10.0,LVR 37,7.0,0.0,Geno Smith pass complete short left to Jack Bech for 23 yards (tackle by Alex Austin and Christian Elliss),0.17,2.92,1,2025,8
1.0,6:30,1.0,10.0,NWE 40,7.0,0.0,"Geno Smith pass incomplete short middle intended for Jakobi Meyers. Penalty on Jackson Powers-Johnson: Ineligible Downfield Pass, 5 yards (declined)",2.92,2.37,1,2025,8
1.0,6:30,2.0,10.0,NWE 40,7.0,0.0,Geno Smith pass deep left (defended by Carlton Davis) intended for Brock Bowers is intercepted by Jaylinn Hawkins at NE-17 and returned for 1 yard (tackle by Brock Bowers),2.37,-0.04,1,2025,8
1.0,6:22,1.0,10.0,NWE 18,7.0,0.0,"Penalty on Adam Butler: Encroachment, 5 yards (accepted) (no play)",0.04,0.88,1,2025,8
1.0,6:22,1.0,5.0,NWE 23,7.0,0.0,Drake Maye scrambles left end for 3 yards (tackle by Jamal Adams),0.88,0.68,1,2025,8
1.0,5:45,2.0,2.0,NWE 26,7.0,0.0,Rhamondre Stevenson left guard for 2 yards (tackle by Devin White),0.68,0.81,1,2025,8
1.0,4:58,1.0,10.0,NWE 28,7.0,0.0,Drake Maye sacked by Maxx Crosby for 1 yard,0.81,0.13,1,2025,8
