Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Justin Jefferson,MIN,7,4,44,1,2.0,32,8.0,12,3.0,10.0,1,4.0,0,0.0,1,75.9,1,2025,1713
T.J. Hockenson,MIN,4,3,15,0,,11,3.7,4,1.3,6.8,0,,0,0.0,0,80.2,1,2025,1713
Aaron Jones,MIN,3,3,44,1,2.0,21,7.0,23,7.7,7.0,0,,0,0.0,0,158.3,1,2025,1713
Jordan Mason,MIN,1,1,7,0,0.0,-5,-5.0,12,12.0,-5.0,0,,0,0.0,0,95.8,1,2025,1713
Jalen Nailor,MIN,3,1,28,0,1.0,19,19.0,9,9.0,7.3,0,,0,0.0,0,68.7,1,2025,1713
Josh Oliver,MIN,1,1,5,0,,-3,-3.0,8,8.0,-3.0,0,,0,0.0,0,87.5,1,2025,1713
Adam Thielen,MIN,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6,1,2025,1713
Rome Odunze,CHI,9,6,37,1,3.0,35,5.8,2,0.3,6.6,0,,0,0.0,0,111.8,1,2025,1713
Olamide Zaccheaus,CHI,7,4,42,0,2.0,21,5.3,21,5.3,8.1,0,,0,0.0,0,74.7,1,2025,1713
D.J. Moore,CHI,5,3,68,0,2.0,46,15.3,22,7.3,18.4,1,3.0,0,0.0,0,104.2,1,2025,1713
D'Andre Swift,CHI,5,3,12,0,1.0,-5,-1.7,17,5.7,-0.6,0,,1,20.0,0,64.6,1,2025,1713
Colston Loveland,CHI,2,2,12,0,,5,2.5,7,3.5,2.5,0,,0,0.0,0,91.7,1,2025,1713
Luther Burden,CHI,1,1,-3,0,,-5,-5.0,2,2.0,-5.0,0,,0,0.0,0,79.2,1,2025,1713
Cole Kmet,CHI,4,1,31,0,1.0,31,31.0,0,0.0,13.0,0,,0,0.0,0,59.4,1,2025,1713
Kyle Monangai,CHI,1,1,11,0,1.0,5,5.0,6,6.0,5.0,1,1.0,0,0.0,0,112.5,1,2025,1713
