Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Player_URL
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,
1,Tony Adams,26.0,NYJ,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,,
2,Paulson Adebo,26.0,NYG,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,6,1,0,0,0,,
3,Azeez Al-Shaair,28.0,HOU,LB,1,1,0,0,0,0,0,1,0,0,0,0,0.0,7,3,4,0,0,0,,
4,Jonathan Allen,30.0,MIN,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,
5,Zach Allen,28.0,DEN,DL,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,3,0,,
6,Will Anderson,24.0,HOU,DE,1,1,0,0,0,0,0,0,0,0,0,0,1.0,4,4,0,3,2,0,,
7,Alex Anzalone,31.0,DET,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,,
8,Arik Armstead,32.0,JAX,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,1,0,,
9,Terrion Arnold,22.0,DET,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,6,3,3,0,0,0,,
10,Alex Austin,24.0,NWE,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,3,2,1,0,0,,
11,Chidobe Awuzie,30.0,BAL,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,0,0,0,,
12,Joe Bachie,27.0,IND,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,1,5,0,0,0,,
13,Budda Baker,29.0,ARI,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,10,5,5,1,0,0,,
14,Jerome Baker,29.0,CLE,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,
15,Christian Barmore,26.0,NWE,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,,
16,AJ Barner,23.0,SEA,TE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
17,Derrick Barnes,26.0,DET,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,1,0,0,,
18,Cody Barton,29.0,TEN,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,0,0,,
19,Jessie Bates III,28.0,ATL,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,0,0,0,,
20,Jordan Battle,25.0,CIN,S,1,1,1,2,0,2,1,0,0,0,0,0,0.0,12,5,7,0,0,0,,
21,Zack Baun,29.0,PHI,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,9,6,3,1,0,0,,
22,Christian Benford,25.0,BUF,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,,
23,Keeanu Benton,24.0,PIT,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,
24,Terrel Bernard,26.0,BUF,LB,1,1,0,0,0,0,0,0,0,1,0,0,0.0,3,2,1,1,0,0,,
25,Cole Bishop,23.0,BUF,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,,
26,Julian Blackmon,27.0,NOR,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,4,3,0,0,0,,
27,DaRon Bland,26.0,DAL,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,
28,Reed Blankenship,26.0,PHI,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,,
29,Nick Bolton,25.0,KAN,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,,
30,Nik Bonitto,26.0,DEN,OLB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,3,3,0,2,3,0,,
31,Thomas Booker,26.0,LVR,DT,1,1,0,0,0,0,1,0,0,0,0,0,0.0,3,1,2,0,1,0,,
32,Joey Bosa,30.0,BUF,DE,1,1,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0,0,0,,
33,Nick Bosa,28.0,SFO,DL,1,1,0,0,0,0,0,1,0,1,0,0,1.0,6,6,0,3,1,0,,
34,Brian Branch,24.0,DET,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,1,0,0,,
35,Bryan Bresee,24.0,NOR,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,
36,Jaquan Brisker,26.0,CHI,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,,
37,Jordyn Brooks,28.0,MIA,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,14,5,9,1,0,0,,
38,Derrick Brown,27.0,CAR,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,,
39,Baron Browning,26.0,ARI,OLB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,,
40,Jarvis Brownlee,24.0,TEN,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,9,6,3,2,0,0,,
41,Coby Bryant,26.0,SEA,FS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,,
42,DeForest Buckner,31.0,IND,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,,
43,Javon Bullard,23.0,GNB,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,7,2,0,0,0,,
44,Calen Bullock,22.0,HOU,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,,
45,Brian Burns,27.0,NYG,OLB,1,1,0,0,0,0,0,0,0,0,0,0,2.0,6,2,4,2,2,0,,
46,Devin Bush Jr.,27.0,CLE,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,4,3,1,1,0,,
47,Adam Butler,31.0,LVR,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,1,0,,
48,Kevin Byard,32.0,CHI,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,,
49,Camryn Bynum,27.0,IND,S,1,1,1,14,0,14,2,0,0,0,0,0,0.0,3,1,2,0,0,0,,
50,Calais Campbell,39.0,ARI,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,,
51,Jack Campbell,25.0,DET,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,0,0,,
52,Jihaad Campbell,21.0,PHI,LB,1,1,0,0,0,0,1,1,0,0,0,0,0.0,3,0,3,0,0,0,,
53,Tyson Campbell,25.0,JAX,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,6,4,2,1,0,0,,
54,Will Campbell,21.0,NWE,OT,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
55,Michael Carter II,26.0,NYJ,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,4,3,1,1,0,0,,
56,Blake Cashman,29.0,MIN,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,
57,K'Lavon Chaisson,26.0,NWE,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.5,3,0,3,0,1,0,,
58,Leo Chenal,25.0,KAN,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,
59,Jeremy Chinn,27.0,LVR,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,,
60,Bradley Chubb,29.0,MIA,LB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,1,0,,
61,Andre Cisco,25.0,NYJ,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,,
62,Damone Clark,25.0,DAL,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,,
63,Kenny Clark,30.0,DAL,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,,
64,Tyler Conklin,30.0,LAC,TE,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
65,Chamarri Conner,25.0,KAN,DB,1,1,0,0,0,0,0,1,0,0,0,0,0.0,10,7,3,0,0,0,,
66,Bryan Cook,26.0,KAN,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,
67,Edgerrin Cooper,24.0,GNB,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,12,8,4,0,0,0,,
68,Jonathon Cooper,27.0,DEN,OLB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,2,2,0,1,1,0,,
69,Maxx Crosby,28.0,LVR,DE,1,1,0,0,0,0,1,0,0,0,0,0,1.0,2,1,1,1,2,0,,
70,Nick Cross,24.0,IND,S,1,1,0,0,0,0,0,0,0,0,0,0,1.0,6,4,2,1,1,0,,
71,Kamren Curl,26.0,LAR,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,10,8,2,0,0,0,,
72,Michael Danna,28.0,KAN,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,1,0,0,,
73,Sam Darnold,28.0,SEA,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
74,Marcus Davenport,29.0,DET,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,
75,Lavonte David,35.0,TAM,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,3,6,1,1,0,,
76,Carlton Davis,28.0,NWE,CB,1,1,0,0,0,0,2,0,0,0,0,0,0.0,4,2,2,0,0,0,,
77,Demario Davis,36.0,NOR,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,6,3,2,0,0,,
78,Jordan Davis,25.0,PHI,DT,1,1,0,0,0,0,1,0,0,0,0,0,0.0,6,3,3,1,0,0,,
79,Kalia Davis,27.0,SFO,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,,
80,Akeem Davis-Gaither,28.0,ARI,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,3,4,0,0,0,,
81,Divine Deablo,27.0,ATL,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.5,6,1,5,1,1,0,,
82,Jamel Dean,29.0,TAM,CB,1,1,0,0,0,0,3,0,0,0,0,0,0.0,6,6,0,0,0,0,,
83,Cooper DeJean,22.0,PHI,DB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,3,2,0,0,0,,
84,Grant Delpit,27.0,CLE,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,,
85,SirVocea Dennis,25.0,TAM,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,10,7,3,2,0,0,,
86,Gervon Dexter,24.0,CHI,DL,1,1,0,0,0,0,0,0,0,0,0,0,1.0,3,2,1,1,1,0,,
87,YaYa Diaby,26.0,TAM,OLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,1,2,0,,
88,Tyrel Dodson,27.0,MIA,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,13,6,7,1,0,0,,
89,Storm Duck,25.0,MIA,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,,
90,Kyle Dugger,29.0,NWE,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,
91,Payne Durham,25.0,TAM,TE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,
92,Tremaine Edmunds,27.0,CHI,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,3,4,0,0,0,,
93,Kaiir Elam,24.0,DAL,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,,
94,DeShon Elliott,28.0,PIT,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0,,
95,Jordan Elliott,28.0,SFO,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,,
96,Christian Elliss,26.0,NWE,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,0,,
97,Kaden Elliss,30.0,ATL,LB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,3,2,0,0,0,,
98,Braden Fiske,25.0,LAR,DE,1,1,0,0,0,0,0,0,0,1,0,0,0.0,3,1,2,0,0,0,,
99,Minkah Fitzpatrick,29.0,MIA,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,9,6,3,0,0,0,,
100,Cordale Flott,24.0,NYG,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,,
101,Emmanuel Forbes,24.0,LAR,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,
102,Zaire Franklin,29.0,IND,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,,
103,John Franklin-Myers,29.0,DEN,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,
104,Dennis Gardeck,31.0,JAX,OLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,
105,Sauce Gardner,25.0,NYJ,CB,1,1,0,0,0,0,2,0,0,0,0,0,0.0,2,0,2,0,0,0,,
106,C.J. Gardner-Johnson,28.0,HOU,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,,
107,Myles Garrett,30.0,CLE,DE,1,1,0,0,0,0,0,0,0,0,0,0,2.0,5,5,0,4,3,0,,
108,Rashan Gary,28.0,GNB,DL,1,1,0,0,0,0,0,0,0,0,0,0,1.5,7,3,4,1,3,0,,
109,Luke Gifford,30.0,SFO,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,,
110,Alohi Gilman,28.0,LAC,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,,
111,Davon Godchaux,31.0,NOR,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,
112,Eddie Goldman,31.0,WAS,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,,
113,Mason Graham,22.0,CLE,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,,
114,Carl Granderson,29.0,NOR,DE,1,1,0,0,0,0,2,0,0,0,0,0,1.5,6,5,1,1,1,0,,
115,Kenneth Grant,22.0,MIA,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,,
116,Cedric Gray,23.0,TEN,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,0,,
117,Renardo Green,25.0,SFO,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,4,2,2,0,0,0,,
118,Jonathan Greenard,28.0,MIN,OLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,2,0,,
119,Logan Hall,25.0,TAM,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
120,Kyle Hamilton,24.0,BAL,S,1,1,0,0,0,0,2,1,0,0,0,0,0.0,9,6,3,0,0,0,,
121,Da'Shawn Hand,30.0,LAC,DL,1,1,0,0,0,0,0,0,0,0,0,0,1.0,2,1,1,1,2,0,,
122,Javon Hargrave,32.0,MIN,DL,1,1,0,0,0,0,0,0,0,0,0,0,2.0,5,3,2,2,1,0,,
123,Will Harris,30.0,WAS,FS,1,1,0,0,0,0,0,1,0,0,0,0,0.0,4,3,1,0,0,0,,
124,Zach Harrison,24.0,ATL,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,
125,Jaylinn Hawkins,28.0,NWE,S,1,1,1,1,0,1,1,0,0,0,0,0,1.0,5,5,0,2,1,0,,
126,Trey Hendrickson,31.0,CIN,DE,1,1,0,0,0,0,0,0,0,0,0,0,1.0,3,3,0,1,3,0,,
127,Daiyan Henley,26.0,LAC,LB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,8,3,5,1,1,0,,
128,Derrick Henry,31.0,BAL,RB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
129,Cameron Heyward,36.0,PIT,DT,1,1,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,1,0,0,,
130,Ronnie Hickman,24.0,CLE,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,3,2,0,0,0,,
131,Jaden Hicks,23.0,KAN,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,,
132,Elijah Higgins,25.0,ARI,TE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,
133,Alex Highsmith,28.0,PIT,LB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,8,5,3,1,3,0,,
134,B.J. Hill,30.0,CIN,DT,1,1,0,0,0,0,0,0,0,0,0,0,1.0,7,3,4,1,1,0,,
135,Daxton Hill,25.0,CIN,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,0,0,,
136,Jevon Holland,25.0,NYG,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,8,3,5,0,0,0,,
137,Amani Hooker,27.0,TEN,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,3,2,0,0,0,,
138,Malik Hooker,29.0,DAL,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,,
139,Jaycee Horn,26.0,CAR,CB,1,1,1,10,0,10,1,0,0,0,0,0,0.0,2,1,1,0,0,0,,
140,Xavien Howard,32.0,IND,CB,1,1,0,0,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,0,,
141,Talanoa Hufanga,26.0,DEN,S,1,1,0,0,0,0,0,1,0,0,0,0,0.0,10,7,3,0,0,0,,
142,Mike Hughes,28.0,ATL,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,0,2,0,0,0,,
143,Creed Humphrey,26.0,KAN,C,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
144,Marlon Humphrey,29.0,BAL,CB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,,
145,Jalyx Hunt,24.0,PHI,OLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,1,0,0,,
146,Danielle Hunter,31.0,HOU,DE,1,1,0,0,0,0,0,0,0,1,0,0,0.0,3,1,2,0,0,0,,
147,Travis Hunter,22.0,JAX,WR,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,
148,Adoree' Jackson,30.0,PHI,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,5,2,0,0,0,,
149,Donte Jackson,30.0,LAC,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,0,0,0,,
150,Michael Jackson,28.0,CAR,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,4,4,0,1,0,0,,
151,Theo Jackson,27.0,MIN,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,,
152,Derwin James,29.0,LAC,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,1,2,0,,
153,Grady Jarrett,32.0,CHI,DL,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,
154,Jermaine Johnson II,26.0,NYJ,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,
155,Brandon Jones,27.0,DEN,S,1,1,0,0,0,0,0,0,0,1,0,0,0.0,7,3,4,0,0,0,,
156,Chris Jones,31.0,KAN,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,
157,D.J. Jones,30.0,DEN,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,,
158,DaQuan Jones,34.0,BUF,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,,
159,Dre'Mont Jones,28.0,TEN,OLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,
160,Ernest Jones,26.0,SEA,LB,1,1,1,7,0,7,2,0,0,0,0,0,0.0,8,3,5,1,0,0,,
161,Jack Jones,28.0,MIA,CB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,8,3,5,0,0,0,,
162,Patrick Jones II,27.0,CAR,OLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
