No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
72.0,Kiran Amegadjie,23.0,OL,0,0.0,326.0,6-5,Yale,2/1/2002,1,,Chicago Bears / 3rd / 75th pick / 2024
17.0,Tyson Bagent,25.0,QB,0,0.0,212.0,6-3,Shepherd,6/8/2000,2,,
71.0,Ryan Bates,28.0,OL,1,0.0,306.0,6-4,Penn St.,2/14/1997,6,,
79.0,Theo Benedet,24.0,G,1,0.0,304.0,6-7,British Columbia,10/12/2001,Rook,,
97.0,Andrew Billings,30.0,DL,1,0.0,340.0,6-1,Baylor,3/6/1995,8,,Cincinnati Bengals / 4th / 122nd pick / 2016
39.0,Josh Blackwell,26.0,DB,0,0.0,179.0,5-11,Duke,4/5/1999,3,,
9.0,Jaquan Brisker,26.0,DB,1,1.0,204.0,6-1,"Lackawanna,Penn St.",4/20/1999,3,,Chicago Bears / 2nd / 48th pick / 2022
10.0,Luther Burden,22.0,WR,1,0.0,210.0,6-0,Missouri,12/12/2003,Rook,,Chicago Bears / 2nd / 39th pick / 2025
31.0,Kevin Byard,32.0,DB,1,1.0,218.0,5-11,Middle Tenn. St.,8/17/1993,9,,Tennessee Titans / 3rd / 64th pick / 2016
52.0,Drew Dalman,27.0,OL,1,1.0,301.0,6-3,Stanford,10/15/1998,4,,Atlanta Falcons / 4th / 114th pick / 2021
46.0,Scott Daly,31.0,LS,1,0.0,245.0,6-2,Notre Dame,2/7/1994,4,,
99.0,Gervon Dexter,24.0,DL,1,1.0,326.0,6-6,Florida,10/5/2001,2,,Chicago Bears / 2nd / 53rd pick / 2023
12.0,Devin Duvernay,28.0,WR,1,0.0,202.0,5-11,Texas,9/12/1997,5,,Baltimore Ravens / 3rd / 92nd pick / 2020
49.0,Tremaine Edmunds,27.0,LB,1,1.0,251.0,6-4,Virginia Tech,5/2/1998,7,,Buffalo Bills / 1st / 16th pick / 2018
53.0,T.J. Edwards,29.0,LB,0,0.0,228.0,6-0,Wisconsin,8/12/1996,6,,
