No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17.0,Davante Adams,33.0,WR,1,1.0,215.0,6-1,Fresno St.,12/24/1992,11,,Green Bay Packers / 2nd / 53rd pick / 2014
87.0,Davis Allen,24.0,TE,1,0.0,251.0,6-6,Clemson,2/3/2001,2,,Los Angeles Rams / 5th / 175th pick / 2023
5.0,Tutu Atwell,26.0,WR,1,1.0,165.0,5-9,Louisville,10/7/1999,4,,Los Angeles Rams / 2nd / 57th pick / 2021
73.0,Steve Avila,26.0,OL,1,1.0,338.0,6-3,TCU,10/16/1999,2,,Los Angeles Rams / 2nd / 36th pick / 2023
13.0,Stetson Bennett,28.0,QB,0,0.0,190.0,5-11,"Jones County JC,Georgia",10/28/1997,Rook,,Los Angeles Rams / 4th / 128th pick / 2023
22.0,Blake Corum,25.0,RB,1,0.0,210.0,5-8,Michigan,11/25/2000,1,,Los Angeles Rams / 3rd / 83rd pick / 2024
3.0,Kamren Curl,26.0,S,1,1.0,205.0,6-2,Arkansas,3/31/1999,5,,Washington Football Team / 7th / 216th pick / 2020
90.0,Tyler Davis,25.0,DE,1,0.0,300.0,6-2,Clemson,11/1/2000,1,,Los Angeles Rams / 6th / 196th pick / 2024
67.0,Justin Dedich,25.0,OL,0,0.0,300.0,6-2,USC,4/24/2000,1,,
56.0,Shaun Dolac,24.0,LB,1,0.0,225.0,6-1,Buffalo,9/14/2001,Rook,,
69.0,Kevin Dotson,29.0,OL,1,1.0,330.0,6-4,Louisiana,9/18/1996,5,,Pittsburgh Steelers / 4th / 135th pick / 2020
14.0,Cobie Durant,27.0,CB,1,0.0,182.0,5-11,South Carolina St.,2/9/1998,3,,Los Angeles Rams / 4th / 142nd pick / 2022
42.0,Ethan Evans,24.0,P,1,0.0,250.0,6-3,Wingate,7/19/2001,2,,Los Angeles Rams / 7th / 223rd pick / 2023
18.0,Terrance Ferguson,22.0,TE,1,0.0,247.0,6-5,Oregon,3/7/2003,Rook,,Los Angeles Rams / 2nd / 46th pick / 2025
55.0,Braden Fiske,25.0,DE,1,1.0,291.0,6-4,"Western Michigan,Florida St.",1/18/2000,1,,Los Angeles Rams / 2nd / 39th pick / 2024
1.0,Emmanuel Forbes,24.0,CB,1,1.0,180.0,6-0,Mississippi St.,1/13/2001,2,,Washington Commanders / 1st / 16th pick / 2023
95.0,Poona Ford,30.0,NT,1,0.0,310.0,5-11,Texas,11/19/1995,7,,
11.0,Jimmy Garoppolo,34.0,QB,0,0.0,225.0,6-2,Eastern Illinois,11/2/1991,11,,New England Patriots / 2nd / 62nd pick / 2014
57.0,Ty Hamilton,23.0,DT,0,0.0,299.0,6-2,Ohio St.,4/15/2002,Rook,,Los Angeles Rams / 5th / 148th pick / 2025
6.0,Nick Hampton,25.0,OLB,1,0.0,250.0,6-3,Appalachian St.,4/5/2000,2,,Los Angeles Rams / 5th / 161st pick / 2023
79.0,Rob Havenstein,33.0,OL,1,1.0,323.0,6-8,Wisconsin,5/13/1992,10,,St. Louis Rams / 2nd / 57th pick / 2015
89.0,Tyler Higbee,32.0,TE,1,1.0,255.0,6-6,Western Kentucky,1/1/1993,9,,Los Angeles Rams / 4th / 110th pick / 2016
72.0,D.J. Humphries,32.0,OL,0,0.0,307.0,6-5,Florida,12/28/1993,9,,Arizona Cardinals / 1st / 24th pick / 2015
27.0,Jarquez Hunter,23.0,RB,0,0.0,204.0,5-9,Auburn,12/29/2002,Rook,,Los Angeles Rams / 4th / 117th pick / 2025
77.0,Alaric Jackson,27.0,OL,1,1.0,345.0,6-7,Iowa,7/14/1998,4,,
94.0,Desjuan Johnson,26.0,DE,0,0.0,280.0,6-3,Toledo,9/3/1999,2,,Los Angeles Rams / 7th / 259th pick / 2023
16.0,Joshua Karty,23.0,K,1,0.0,207.0,6-2,Stanford,3/7/2002,1,,Los Angeles Rams / 6th / 209th pick / 2024
26.0,Kamren Kinchens,23.0,S,1,1.0,207.0,5-11,Miami (FL),9/29/2002,1,,Los Angeles Rams / 3rd / 99th pick / 2024
37.0,Quentin Lake,26.0,S,1,1.0,196.0,6-1,UCLA,1/29/1999,3,,Los Angeles Rams / 6th / 211th pick / 2022
53.0,Nathan Landman,27.0,LB,1,1.0,235.0,6-3,Colorado,11/19/1998,3,,
50.0,Beaux Limmer,24.0,OL,1,0.0,312.0,6-5,Arkansas,6/10/2001,1,,Los Angeles Rams / 6th / 217th pick / 2024
71.0,Warren McClendon,24.0,OL,1,0.0,317.0,6-4,Georgia,4/11/2001,2,,Los Angeles Rams / 5th / 174th pick / 2023
2.0,Jaylen McCollough,25.0,S,1,0.0,202.0,6-0,Tennessee,10/12/2000,1,,
15.0,Konata Mumpfield,23.0,WR,1,0.0,186.0,5-11,"Akron,Pittsburgh",10/24/2002,Rook,,Los Angeles Rams / 7th / 242nd pick / 2025
52.0,Larrell Murchison,28.0,DE,1,0.0,285.0,6-2,"Louisburg,North Carolina St.",4/24/1997,5,,Tennessee Titans / 5th / 174th pick / 2020
